age,income,purchase_amount,satisfaction_score
27,26685,8268,5
30,43523,14131,4
27,45683,14762,6
27,31401,10621,5
26,28445,11411,6
30,39442,16720,5
31,18119,6374,4
34,12853,3914,5
22,24830,7681,4
35,33117,9286,3
26,27467,11359,6
38,12089,3725,5
35,14893,5978,4
27,12108,4039,5
28,10125,4061,8
25,5258,1573,5
30,33703,10493,6
31,40291,13449,6
29,27773,9806,6
29,11173,3436,4
28,12732,3212,5
27,10122,3083,5
31,10489,4560,5
35,12529,4539,4
26,20603,7799,3
33,36800,17604,3
30,6408,2591,5
39,10390,3880,6
33,13749,4625,7
27,44857,11201,5
35,21051,7752,5
27,36719,15469,5
30,17144,5826,5
23,9572,3256,6
31,28392,10787,6
30,7301,2571,4
28,25925,10751,3
29,49598,20708,4
22,23212,9092,5
28,22893,8453,5
27,28251,9155,8
29,46974,16966,6
30,47201,20759,6
31,32348,12731,6
30,22192,9298,5
35,42932,15529,3
35,38559,13251,7
27,43123,14231,5
32,5895,1756,5
27,8762,3510,6
24,15912,6193,4
22,37906,13364,6
34,19972,8001,3
25,44225,18635,7
27,39726,8417,4
33,40444,13467,5
27,39385,13155,4
36,5246,1642,6
25,27394,9207,5
35,39941,14304,5
29,24340,6836,6
33,15437,4768,4
30,31193,13029,6
38,42475,16788,5
30,23500,6267,5
24,25657,6098,6
38,26247,10060,6
33,42776,13393,5
23,41767,9699,5
19,49434,20024,5
26,32715,14133,6
23,21002,8635,3
34,47083,15433,6
21,47349,20642,5
31,31419,9669,5
31,10783,3123,4
33,44157,16213,6
26,26813,11966,6
30,14645,4090,3
31,49352,17042,5
37,21000,7672,6
27,44059,13162,6
28,15361,2789,5
30,39262,16073,4
28,16680,5965,5
26,18803,6462,5
23,44332,14237,6
31,20010,7002,5
31,27395,10135,6
31,15664,5130,4
28,30870,11591,6
30,6247,1896,5
31,47517,13491,5
35,13777,5699,5
35,40929,13826,6
36,32673,11761,6
27,16610,5817,4
32,35183,13310,6
25,30655,11910,5
29,23307,8108,4
37,15979,7134,4
29,19381,7358,5
29,38959,12706,6
34,17185,5685,5
29,29717,12082,6
32,17238,6356,5
30,12777,3637,5
33,37696,15128,4
36,25302,9358,5
29,24098,8146,4
30,29856,12918,4
31,35511,15777,3
31,31419,9947,4
32,16334,6683,6
34,49125,20128,7
32,30031,10863,6
25,21110,6387,3
31,41577,12623,7
36,48534,17172,3
34,23991,8594,4
23,7444,2700,5
31,43385,17406,4
24,32707,10743,4
27,40512,13467,5
28,12043,4319,6
33,32949,9733,5
27,17907,5907,5
31,33930,11722,4
28,11203,3904,4
23,34965,10528,4
24,11560,4406,4
33,7580,2570,6
21,11479,4193,4
24,46702,20432,3
26,29184,12912,6
30,27040,8450,3
24,41717,12088,6
31,14656,5011,6
30,49861,15404,5
27,22069,9474,4
32,33931,9090,4
26,8685,2831,5
38,31579,9509,3
27,8985,3233,6
25,47710,15237,5
28,18158,7775,5
29,38294,14778,6
30,22578,7777,6
31,15713,5736,6
25,9236,3154,4
33,49353,23179,6
33,33096,11831,4
34,9144,4092,5
29,17190,6536,6
28,31053,10338,4
33,34909,15546,6
39,23864,9244,6
28,25922,9739,6
31,35391,10779,5
34,34821,11383,7
28,26031,8965,4
29,11774,4578,6
34,39206,11014,5
20,31685,11259,6
23,23729,8521,6
25,20245,8366,6
35,11708,3667,3
33,12360,4354,4
34,45800,17314,5
25,19552,7011,4
28,35872,13149,5
32,24631,12122,4
29,21590,9161,5
39,30354,11318,6
29,23383,8483,5
31,7479,2120,4
35,32059,12237,6
36,6609,2345,5
28,8241,2552,5
34,28597,10495,5
33,10011,3240,5
24,7714,2174,5
27,27794,10468,5
28,45319,20647,6
28,27468,10689,6
28,37375,12128,7
32,33284,12014,5
34,48653,18965,6
27,37589,16608,5
34,6448,2665,5
32,36620,12578,4
23,36787,13545,5
26,33293,11834,5
32,42167,16085,5
29,35321,15626,5
39,40024,13043,5
31,35164,10961,6
23,14541,4947,5
41,12580,3594,3
29,49065,18914,6
30,10049,2799,5
31,12310,4754,6
31,7817,2504,6
33,20726,6957,5
34,45451,15073,6
23,47562,14210,6
36,34838,16200,5
30,38356,13228,5
32,14433,4009,5
32,7983,2423,5
24,6311,2259,5
28,28993,10358,5
29,27811,10111,4
31,49153,19245,6
29,24794,8627,8
28,14219,4713,4
34,32966,15094,5
32,12524,2482,4
28,37578,14606,6
38,39860,17298,4
26,47335,17656,3
32,10902,4176,5
25,41686,14163,7
32,45057,20834,5
21,7707,2757,5
23,12309,3418,6
32,23424,9324,5
31,37360,10668,5
34,15714,5102,6
33,13704,4890,6
35,33334,13321,5
31,38368,9942,5
22,16836,5084,5
29,35657,10075,7
33,30410,10274,5
31,35387,12774,4
26,10262,2741,5
29,18348,5830,6
25,40292,13208,4
32,27647,8495,6
24,43197,13788,4
28,32799,11890,6
27,22427,7667,6
48,46857,21079,4
39,35348,13435,6
26,6990,2849,6
30,22132,8765,5
22,16565,6173,3
41,9350,3284,5
33,22511,7340,6
30,49186,20773,6
31,15664,5280,6
31,43103,11337,6
22,6536,2564,3
34,7905,2671,5
32,31285,12061,4
26,49397,16483,4
28,27935,9676,7
30,38323,14311,4
28,46336,14378,3
30,19535,7401,5
29,12879,5319,5
29,35538,12945,6
29,28744,8404,6
27,40244,12527,5
21,20156,6593,5
31,20184,5799,5
30,47710,18301,7
32,29554,10141,6
26,43241,8870,6
34,40039,14060,4
26,18754,6190,6
26,15501,5458,4
32,38438,13902,4
29,31209,12539,5
26,46527,17960,6
34,48496,18345,5
34,36865,14490,5
29,23298,9252,5
32,45554,16736,7
33,12631,3689,6
28,21750,7915,5
29,8273,3050,3
35,35648,10874,6
31,44181,18748,4
33,41337,13337,3
30,39956,14972,5
34,29460,10011,4
35,33811,12237,5
32,41275,14887,6
35,14271,5615,4
36,40505,14189,5
26,42817,13473,5
28,7141,2493,5
33,32054,9303,6
24,45697,10981,4
26,48500,21027,6
37,20625,7667,5
39,16997,7032,2
34,44043,9683,7
28,45636,17953,5
38,32429,11464,4
27,8876,2662,4
27,40609,13582,4
27,42613,14294,5
25,12044,5073,6
29,33924,12838,6
34,45877,14187,4
28,12818,4579,6
32,31641,9939,5
26,11545,3767,6
30,25774,8792,4
31,28815,7901,6
26,15777,7584,7
27,26470,9941,4
23,38065,10252,6
31,17956,6730,6
21,44789,17462,6
31,17857,6409,5
26,38005,9162,5
28,7982,2797,5
27,30091,9367,5
32,34832,14671,5
28,30942,9401,5
34,27962,10036,6
30,47812,16883,5
29,35843,11489,6
31,27495,10414,6
34,35404,13514,5
33,45426,12797,4
25,25836,8246,4
22,12190,3696,5
33,45504,18302,6
37,16613,5634,6
29,6231,2382,5
22,20459,6900,4
25,21273,8480,4
30,34139,15291,5
31,42715,12980,5
35,32751,12008,5
32,38180,12791,6
28,29990,9678,7
33,21073,8855,6
29,18199,4656,5
33,28078,10073,5
28,43651,14436,5
32,18269,7293,6
29,8466,2958,6
24,48609,15529,5
31,29771,10041,7
28,23185,6789,5
22,19373,6771,5
32,21742,8451,6
30,38742,11678,6
30,21118,6109,4
26,32848,8476,6
32,36415,9559,4
30,18712,5831,3
26,30711,12472,5
29,17423,7117,6
36,11536,4360,3
32,14484,4619,6
36,27662,9307,4
29,6012,1612,5
24,37556,15265,5
35,18354,4156,6
35,12488,5133,6
36,46608,17428,6
28,47757,19378,4
32,21201,7852,5
24,20777,5535,6
32,17951,6577,5
25,49428,17101,6
34,38864,15203,4
35,24934,6790,6
30,26582,9323,4
22,36799,10632,5
32,18675,4409,5
34,28715,7673,6
31,9701,2320,5
33,42421,13968,6
32,41237,12581,6
29,40369,15729,4
30,40864,13441,5
32,20847,5649,7
24,20325,7691,5
30,47827,19375,4
27,42541,12043,5
19,32896,11007,5
33,36856,13383,5
32,27007,9229,2
35,19237,6846,5
32,6158,2065,6
35,6143,2142,5
30,11201,3934,5
33,16936,5950,6
37,15947,5094,5
25,48396,17244,5
31,25754,10040,5
26,44091,16000,5
34,42453,11326,5
37,14861,4843,5
24,19638,7667,5
32,7987,2395,5
31,16763,5523,4
36,8920,3230,5
31,10195,3466,5
35,17806,5693,5
31,26200,7452,4
36,47398,15197,4
26,24902,7549,6
21,12654,3472,3
27,5643,1778,3
41,25375,8974,6
29,10711,3484,6
34,40778,11868,4
28,5229,2117,6
27,8979,3157,3
23,43652,14702,4
34,7170,2618,5
35,31810,12311,5
35,17367,6493,4
30,29394,9873,6
32,42573,13649,4
30,35239,12804,4
31,39795,15086,5
33,24220,8668,5
25,42144,13782,5
31,6857,2636,5
28,13671,4982,5
27,23312,8501,4
38,26205,9873,4
32,24781,10378,5
28,49184,20262,5
28,8049,2301,5
31,13604,4230,5
33,35343,16772,4
37,6091,1349,5
32,20870,7609,6
31,24091,9294,5
28,34915,12945,5
28,28603,10251,3
33,40525,15797,3
35,12221,4907,4
28,14173,5320,5
31,40654,14702,6
24,37175,10137,5
29,39335,13797,6
35,45973,16865,4
27,29199,8560,5
31,6867,2727,7
33,42395,15109,4
29,34720,12826,6
27,22736,9157,3
26,13268,6227,6
34,24325,9372,5
33,47556,16993,5
39,47974,16056,6
37,46310,16996,3
29,24834,6610,4
34,22276,6867,6
27,34593,12801,4
32,39174,11655,4
25,27369,7497,5
33,44026,17898,5
20,10309,3412,5
24,32804,11010,5
39,22403,6301,6
29,38771,10653,5
30,14459,6350,6
27,38362,12250,5
28,27575,8935,5
26,15632,5458,4
33,32727,14413,6
29,13842,4785,5
26,18371,6592,5
25,30197,10729,5
32,47816,13357,4
36,28808,10005,4
36,35252,11893,5
34,47433,15592,4
20,39990,15676,6
32,35264,12043,5
29,5847,1953,5
24,36391,14455,6
26,23036,7737,5
31,17559,5920,4
34,29933,13975,2
41,23768,10533,5
35,35959,13411,4
36,16431,6708,5
24,32073,9804,4
27,29495,8674,5
35,47672,17335,5
35,5796,2191,5
33,10570,4322,6
29,16702,7265,5
23,43174,12540,5
34,43467,13910,6
31,21132,6722,6
24,19306,6565,6
37,13944,3858,6
26,33514,14389,6
33,22852,6986,4
31,5099,1679,5
23,10318,3821,4
24,35941,13106,6
32,32951,13933,5
21,45887,16743,5
30,25068,9625,6
38,27415,10176,5
20,19307,6001,5
31,33032,15507,3
30,43740,13809,5
32,5254,1944,5
27,23153,7056,4
29,21392,7488,4
25,35978,13583,6
33,34192,13006,5
22,41046,14059,4
25,38856,13935,5
37,35436,12003,5
34,32827,9934,3
32,11819,3579,4
27,14029,4825,7
34,38655,15317,7
31,46350,22612,5
37,7867,2827,6
27,37998,9470,4
34,20894,7072,5
26,45031,13504,5
25,45795,16894,5
28,45106,18607,5
34,48062,15014,5
31,34998,14165,4
26,17704,6854,4
25,16338,6495,4
34,17793,6162,4
24,24585,9381,5
24,40937,14444,5
26,12260,3750,5
27,25636,8007,5
34,8050,3162,5
28,36947,13149,6
31,22639,8040,5
23,29754,10504,5
30,38981,13420,5
32,39405,11323,4
28,31656,11258,5
40,29359,11652,4
35,34547,15120,4
24,34022,9657,7
31,26829,9181,6
38,48307,15112,4
33,28014,6776,3
32,26452,8766,5
31,8711,2827,5
25,6896,2080,4
26,6550,2158,5
31,24176,9476,5
33,32254,10379,4
22,13835,4890,5
25,24075,9493,4
37,13144,3604,6
30,32785,9719,5
21,13915,5902,4
29,19517,6615,5
35,30427,11800,6
33,6178,2398,4
35,41899,17478,4
27,11551,4087,5
43,9757,3247,5
28,23771,8161,4
35,34725,14305,6
38,46852,16456,6
30,26410,10110,5
31,48091,20195,4
26,36009,14139,5
29,37639,11842,5
27,7153,2598,7
31,41261,15180,6
28,29114,9518,5
18,20066,7316,5
20,47022,17164,3
17,22292,8573,6
31,9345,3334,4
39,8836,3450,5
38,28782,10326,6
31,28649,11724,6
21,15712,6866,3
34,42918,9790,3
35,41972,15030,7
31,42303,15981,6
32,29226,10926,4
30,8990,3658,3
31,25933,9349,5
25,40827,10145,7
28,43599,16757,6
32,6685,2592,6
30,49066,15536,4
34,44546,16842,4
25,34416,11496,5
26,15959,5429,6
24,44012,14559,6
36,10744,3938,5
39,39362,16275,6
29,28417,11688,6
27,24359,9123,5
24,44387,15848,5
32,16009,5793,5
38,12518,4381,6
27,44752,16363,5
32,23033,9697,5
31,17761,5157,5
21,14487,4539,5
33,35509,13564,5
29,32603,11848,5
29,23264,8861,2
18,13587,4162,6
28,22842,9015,5
29,19351,8623,4
36,6893,2492,4
26,49973,15166,6
26,36674,9539,5
29,5841,1686,5
34,18827,6961,4
23,24757,7138,6
34,36602,11552,4
26,29824,8999,4
33,27600,8383,6
28,6133,2018,6
27,27811,9501,6
29,42748,12116,6
18,30108,10938,6
24,7697,2410,5
33,41409,14769,5
22,14266,3999,5
37,43121,15616,4
34,31356,12055,5
33,40346,11713,5
30,48912,17137,6
34,7370,3058,5
36,36755,12763,5
31,40233,14261,8
26,36241,13805,6
25,48179,14008,5
28,32049,9477,6
30,13260,3817,4
29,8974,2456,3
37,48630,18620,5
35,11096,3312,6
40,38189,13478,5
29,37963,14664,6
27,45464,16876,4
32,29601,10222,3
33,11379,4449,6
32,29205,7883,4
30,28835,11855,5
32,9783,3931,5
36,23036,7768,5
31,8725,2442,6
20,23468,6725,4
27,49743,16463,6
29,25354,6044,5
31,38067,11577,5
35,14562,5617,7
31,13748,4497,5
28,38146,14087,7
18,30058,11365,5
39,38567,10488,6
33,29257,9569,6
33,11637,4445,6
29,29792,11854,5
33,12635,3843,6
30,37723,17212,4
30,46123,16455,5
33,22603,5628,4
27,26119,11280,5
32,13708,4718,5
30,19938,5882,5
27,44757,14781,5
28,31650,8739,6
33,32957,10493,5
31,27309,11077,6
31,43149,17773,6
33,43147,14430,5
31,45261,13256,6
24,14744,4245,5
31,30362,9917,6
30,38386,11160,4
36,34069,10630,6
31,5260,1899,6
30,13881,5947,7
34,29209,13686,6
31,8236,3323,4
23,41558,16504,5
22,34867,8474,6
31,38994,13568,3
38,38396,12107,5
22,37532,12999,5
23,35083,12365,5
26,39325,17015,5
33,38655,15699,4
24,43094,16193,7
27,24113,8041,6
30,13823,5564,6
24,46193,14647,7
32,23332,6610,5
35,15706,6682,4
37,29150,10159,4
28,38037,12039,2
30,18522,6194,7
34,23472,8286,5
33,19663,7949,4
34,6215,2311,5
23,13504,4715,5
36,45092,14773,4
34,31924,10178,5
30,32062,10343,7
32,25470,8187,4
31,34422,9679,3
31,12561,4992,6
31,32615,11052,7
26,46966,18664,5
34,28143,9973,6
31,26117,9160,5
28,49428,18595,4
17,5030,1721,4
30,46472,16659,6
31,21591,6210,6
36,10504,2710,5
23,36096,15164,6
29,13069,3296,5
37,28731,11048,3
32,21628,8359,5
30,37623,15005,4
32,29980,10204,7
32,27387,10696,4
39,10489,3842,4
31,19758,7020,5
32,30450,9624,5
24,22739,9770,5
31,30123,7983,6
22,8997,3143,5
34,47083,13014,5
31,26676,7895,6
33,9934,3465,5
32,17573,6398,4
28,9675,2698,4
42,47036,13233,5
34,9603,3259,5
33,47333,13178,5
31,33399,13344,5
34,25599,10361,4
31,8972,3370,5
34,9551,3900,4
27,23883,7426,4
29,12600,4836,4
28,18201,6469,5
31,23983,8051,2
34,8905,4205,3
19,11581,4289,5
25,33726,14045,5
33,49826,18333,4
25,6402,2015,4
32,8305,3567,5
21,47653,18436,5
19,43056,16494,6
26,13735,5389,3
26,10891,3517,5
30,29312,10577,2
29,22073,5587,7
31,20454,8147,6
29,28206,13603,5
34,28794,9608,5
34,26376,8743,3
31,46092,20312,6
27,38645,13252,7
32,34010,12018,5
36,31267,11940,4
28,34972,11451,5
29,28447,12582,6
31,40485,17005,6
32,10813,4128,6
29,35175,13154,5
33,46713,16965,5
34,42782,14386,4
20,45022,17137,4
29,26497,9319,3
33,5435,1737,6
25,22851,8836,4
27,17652,5437,4
33,19171,6196,5
27,28198,9206,6
32,42637,16165,5
28,16363,4693,4
29,41125,15316,3
29,13920,5829,4
22,23028,8352,5
28,23496,7697,6
30,34282,10747,6
30,46065,14246,5
33,40903,10999,7
32,8104,2821,6
27,17237,5796,4
31,40692,13051,5
28,43869,13434,6
29,31179,9714,7
32,23750,8903,3
37,14559,5575,5
24,39660,11648,4
27,26197,7507,6
22,9370,3545,5
33,12326,4288,5
29,32335,12569,4
25,35505,14716,6
38,41885,14861,4
31,14728,5402,5
34,19774,6741,4
32,23415,8023,4
28,44027,18995,6
31,16497,5516,4
35,39652,13154,5
32,40336,17971,6
26,42019,15598,4
36,21038,6505,5
28,22698,10444,6
35,27603,8373,7
23,49194,18088,8
31,47327,16468,6
33,16437,5762,5
29,21829,8326,6
30,45915,13770,4
24,24353,6923,5
30,34922,13409,4
30,47388,16945,4
25,12965,4416,6
29,18231,5168,5
37,38424,11786,6
21,45738,15961,5
22,35741,10786,6
36,13968,3708,6
27,31409,10832,5
36,23546,7791,7
43,15531,7347,5
31,5141,1670,5
24,24096,8696,4
32,14919,5570,5
34,49729,16638,4
31,6582,1859,4
33,18220,7550,6
34,45985,14252,6
25,24612,6950,3
29,47405,17027,6
31,35885,10680,6
29,8175,2664,5
37,8329,2319,4
38,13814,4464,6
22,29365,11127,5
26,20236,6931,6
31,28105,12324,4
31,6893,2124,4
32,30127,9590,6
31,8879,2211,7
26,22366,8445,6
27,33562,9285,5
28,41849,12550,5
35,46169,17843,5
34,21514,6400,6
41,27588,10191,5
27,38467,14397,6
29,44084,17117,6
42,45443,17745,2
30,35422,11594,6
37,43639,14758,5
31,25067,6790,4
28,30734,9870,6
33,20074,6294,6
34,15227,4425,6
28,42760,13911,5
29,13743,5269,5
26,22761,7343,4
34,32816,12481,5
35,29326,9023,4
30,6902,2099,6
25,26227,9191,4
30,43163,16766,4
33,11020,3681,4
27,28261,9073,4
34,5717,1504,6
31,11148,4375,7
36,35902,7753,5
19,48603,18047,5
28,14745,5125,7
37,37062,11431,5
28,16851,6908,6
29,10406,3716,5
31,42400,17344,4
31,41463,16578,6
31,17969,6846,5
28,23131,8585,4
24,43384,16774,7
30,19509,6578,3
22,15267,5014,6
32,16544,5699,6
30,5064,1580,5
26,47753,20187,3
31,23332,8995,6
35,30940,13018,5
27,40259,16902,6
41,38229,14032,5
34,15360,4339,4
28,13546,3560,4
31,24501,7949,4
30,17282,6119,4
36,35873,10593,4
28,26758,8229,5
32,31414,10916,7
40,34021,12172,6
25,14289,4607,5
29,35070,12251,6
20,16265,5068,5
34,48853,16156,6
31,7864,2603,5
34,42574,12793,5
29,27040,9326,5
28,21840,6934,5
24,13997,4261,4
32,42153,12012,4
31,39631,12949,5
20,11345,4035,6
31,45607,15024,3
32,34521,11370,6
35,11683,4494,5
35,44060,13777,3
35,14396,4748,4
30,45958,18198,5
31,38729,14046,4
32,16666,5784,6
34,45277,12186,6
30,25444,6980,3
27,34939,14874,6
28,25247,10236,3
31,32461,12775,4
22,16363,5261,6
25,8205,2990,5
30,48751,15737,5
28,21734,7332,6
30,18307,7284,5
26,20667,8503,6
33,32931,8983,4
30,14166,4886,5
27,21325,9793,3
36,43002,18149,5
35,32055,8808,4
27,13865,5285,5
31,37924,13880,7
29,33747,11907,3
28,39889,12781,6
32,35226,11068,4
24,41400,14662,4
32,35625,12456,6
35,32620,13259,4
27,25982,6837,4
34,21450,8100,6
39,7293,2388,5
24,18569,4497,6
23,31448,10827,6
29,11863,5187,5
33,10791,3615,5
26,29636,12438,6
32,44335,15725,4
26,44155,13300,3
40,33309,11957,5
34,42991,15324,6
23,38574,13239,5
31,24261,8100,5
31,12916,4779,6
36,35780,12451,5
31,24260,9325,7
32,16830,6379,3
29,20758,8182,3
32,10341,3696,3
27,13347,3305,4
41,43290,14784,5
29,47741,16998,5
24,29207,11262,4
33,27346,9217,5
28,6125,2097,5
25,33023,11685,5
33,43791,17027,3
30,45568,11721,5
29,5148,1646,5
32,22633,8891,4
28,44160,10250,5
33,26933,9324,4
39,12304,4917,6
31,48538,11662,6
32,28733,10673,4
25,5415,2114,4
28,6307,2535,6
33,22225,8413,6
30,5226,2147,5
26,28499,11124,5
30,46474,12250,3
35,31886,10997,6
31,21700,7475,2
26,36021,13716,5
30,39981,16373,3
29,15876,7658,4
33,40099,14286,5
19,5974,2804,5
29,20121,5855,4
31,13604,5806,5
26,11217,4141,5
30,29272,11318,5
31,9422,3364,5
33,28454,9195,6
30,7972,2686,5
32,10732,3643,4
27,19458,7069,6
31,18646,6452,5
38,47106,18926,3
36,13015,4003,5
33,9330,3210,4
33,37866,15202,6
38,19351,7588,5
32,39907,15467,5
34,19832,8509,5
25,43053,14904,5
31,27632,12785,5
28,8413,2868,4
30,36270,15201,6
26,44723,10774,4
33,42139,14824,6
26,36509,15222,6
33,21327,7375,4
29,19980,7834,6
35,42842,12589,4
20,5216,1943,5
33,28856,11176,3
33,17949,5783,6
32,28119,9135,4
26,19930,7109,5
21,11402,4589,8
28,24699,9318,5
27,48881,19568,5
29,22847,8389,5
22,6612,2303,5
34,31546,9849,5
31,10975,3570,4
33,30054,10859,5
28,11241,4280,5
28,42080,15170,6
31,29005,9234,5
28,6893,2373,6
30,13810,3674,7
31,7677,2729,7
34,6107,1850,4
29,26300,9551,6
31,14959,4461,5
25,14033,5492,6
25,8750,3041,6
33,47825,18318,5
34,35222,10474,5
30,40465,13540,4
24,35614,13028,6
36,8959,3895,4
39,20786,9703,6
41,18784,6159,5
31,13582,4921,6
23,19832,6324,5
22,32436,10662,6
25,31050,11161,5
28,30656,11050,5
31,20116,5806,5
26,29174,6551,5
23,25885,10375,5
25,33671,13961,6
26,29453,9085,5
34,33125,11108,6
23,24517,8763,4
31,27647,8576,4
27,35720,10871,4
25,17022,6248,6
31,46408,17509,4
36,45506,14731,6
30,16115,5431,5
26,18148,5779,5
28,36628,9872,4
32,41359,18474,5
36,32518,11353,5
32,44962,15700,6
32,39931,17461,4
22,44136,15229,6
36,47344,15720,5
34,15645,5820,4
36,31409,10842,4
32,21286,8111,5
28,6622,2148,4
33,46811,15369,5
26,42677,14010,6
28,45800,13549,6
28,8335,3082,6
32,16983,5597,4
27,27633,8953,5
31,32122,11572,4
34,5239,2276,4
30,32374,9839,5
32,28159,7407,4
21,19670,6189,4
36,10392,3670,4
31,42990,15595,5
26,6525,2193,3
21,19007,7233,5
37,23686,8244,5
35,46587,15708,5
34,38680,12964,5
37,25791,8755,7
27,17044,6472,5
33,22018,7466,5
23,10902,3683,5
28,30602,7273,4
28,30289,11092,5
30,18075,6734,6
31,24240,6230,5
32,24706,7913,4
27,39028,14186,5
27,28082,9356,4
29,38309,12083,6
29,21309,5594,5
26,28260,9486,3
33,26502,10279,5
28,23861,9589,5
36,36347,12362,4
28,25240,9862,5
20,31882,9766,6
35,10629,4008,7
26,13671,4738,6
32,48940,15101,4
32,38885,14366,7
25,23806,11445,5
29,23131,7210,4
27,6064,2443,6
30,46340,16091,4
28,6988,2877,5
28,39895,13055,4
35,43033,14977,3
37,20870,6995,6
27,34274,11069,5
35,24688,8938,6
36,42470,15902,4
41,15919,5655,7
34,21542,7920,5
34,44865,10524,6
25,15774,5097,6
33,26179,8832,6
18,42954,15447,5
30,33786,12002,5
24,7187,2737,4
29,8556,2464,5
32,40469,17089,4
34,23142,8593,5
30,36120,13163,3
30,5372,2078,3
33,18477,7140,3
34,45204,16257,6
37,45609,19296,4
34,21804,10367,4
42,34397,12737,5
33,17079,4376,7
29,8209,2909,7
35,39689,14495,6
34,48810,17196,4
37,21021,7103,6
36,25642,7149,6
32,37889,13988,4
31,32285,10589,5
29,19648,5835,3
28,35499,12001,3
28,30804,10207,8
33,49821,16439,4
29,38401,15227,5
28,8289,3260,6
24,13903,5108,6
22,43881,14689,4
31,41254,14124,3
25,44511,17841,5
27,13502,4619,4
22,31642,11755,4
35,23832,9688,6
30,35545,14660,4
27,25292,7172,5
18,7217,2908,5
28,16156,5827,5
34,46207,15538,6
28,22193,7101,5
33,22062,6873,5
35,8068,2828,7
28,41926,12714,6
27,9337,3436,5
33,37518,13604,6
30,29696,13316,4
29,18108,6702,7
27,5374,1933,5
32,11329,3323,6
28,9493,2645,5
30,23782,7999,5
37,24550,8589,6
28,36173,12993,4
31,33783,10585,4
30,13518,4102,5
32,33646,15006,4
39,34441,15234,4
32,41881,13675,5
30,34241,12027,5
29,30334,10049,4
29,32364,11426,4
31,28697,9147,6
29,38106,11708,4
27,37674,11170,7
31,48402,13759,4
30,14492,5136,5
32,20705,10209,4
36,17847,6874,5
37,45175,16470,7
31,34852,15297,5
35,21213,7256,5
34,20884,7374,6
28,47131,15851,5
25,14163,4176,6
21,35680,13064,6
30,11522,4141,4
25,5093,1677,3
35,23552,8963,5
36,19616,5974,6
29,7891,2386,3
24,26963,9215,5
34,39400,13110,5
30,19934,6025,4
34,49865,17766,6
28,41500,15641,6
35,8838,2897,6
33,39315,16716,5
31,35457,11336,4
36,43215,13211,5
22,17005,6257,4
28,7183,2265,5
36,33092,8568,6
28,13862,5026,6
24,14771,6043,4
24,12042,4142,6
23,6599,2301,5
20,16310,5666,4
37,6953,2841,5
29,13461,4834,5
39,32630,12091,6
29,16350,4712,4
33,18292,6005,5
29,21778,6823,6
29,13362,4276,5
34,29035,8557,6
37,21694,7221,7
29,21719,9144,6
30,25568,6239,7
23,21223,7579,6
31,43964,17064,4
25,34001,16142,4
27,41736,13375,6
26,34968,11257,6
36,13403,4335,6
29,36996,14520,5
29,30322,11138,5
28,46601,17721,4
25,29779,9202,6
25,33336,10474,7
19,38147,12318,5
34,35294,10272,7
30,18194,6621,3
29,39676,14644,5
29,29301,10053,6
27,45140,15822,5
35,37730,14311,5
28,31013,10999,4
32,42266,16773,5
29,24671,6864,5
20,40227,15301,4
35,46516,12096,4
27,8623,3506,4
31,47765,19260,5
36,38773,13543,4
29,38337,14177,5
28,8702,3056,6
32,39436,12147,5
19,12389,4262,5
27,5641,2239,4
35,40324,13329,5
25,37650,13064,5
28,8880,4101,7
34,35711,12845,4
33,21218,7878,6
37,46992,15577,4
34,19636,8965,4
31,6877,2101,6
27,14554,4513,5
36,20893,6740,7
26,45488,13273,6
26,42320,17357,5
26,26687,8466,5
21,42269,17481,4
32,14455,5664,5
32,39838,14965,4
32,44164,12767,5
32,31414,10018,5
31,30326,9846,4
31,20771,6909,5
35,35403,14646,5
28,17500,6239,6
35,34933,15351,5
32,6149,1686,6
27,36212,12365,5
25,23336,8183,5
21,42119,12809,6
19,15316,4915,7
32,45191,15147,3
30,6055,2717,6
25,7490,2768,6
32,47547,22239,6
38,47751,15143,5
36,23623,7419,5
30,24306,7053,5
32,13413,4454,3
35,8111,2514,5
32,43631,17215,6
27,16260,6547,4
36,21329,5389,5
21,16222,6444,4
38,41412,13686,3
33,29286,9175,3
27,45321,16848,5
35,19397,7149,5
31,21375,7945,4
32,40801,13166,4
28,13460,5602,7
33,13397,5575,7
25,11116,3417,4
30,8920,3428,6
34,32228,12256,6
24,19014,6031,6
33,13886,4739,5
29,29993,10489,5
30,44620,16317,6
29,13119,6339,5
26,6058,2321,6
30,47488,16163,7
28,37137,9335,5
27,22606,8225,6
33,30629,13164,4
29,24734,8859,6
27,34397,13878,6
28,8208,2610,4
30,46732,15629,5
22,45778,18067,5
32,31675,10294,5
33,23913,7719,5
35,27949,7619,6
31,17369,7562,5
21,15961,5967,7
23,30812,10549,4
31,12849,3591,5
22,47606,15205,7
38,43627,15033,6
20,48540,19649,4
28,6173,2783,5
34,49897,15134,2
33,22698,10200,4
34,15118,7453,6
37,23267,7757,5
33,13285,4236,4
30,6992,2341,8
35,13584,5577,5
26,12584,3471,5
28,24472,10261,6
21,7506,1998,6
34,30757,10749,4
40,30589,12924,6
30,8891,3603,5
29,8326,2861,4
30,45564,17991,5
31,10392,2881,5
27,31390,11330,7
32,30523,11704,3
28,7169,2057,3
26,10349,4439,5
27,29950,11098,4
38,33352,12809,7
30,16907,6035,6
37,28670,10742,4
